Id,Income,Limit,Rating,Cards,Age,Education,Own,Student,Married,Region,Balance
1,14.891,3606,283,2,34,11,No,No,Yes,South,333
2,106.025,6645,483,3,82,15,Yes,Yes,Yes,West,903
3,104.593,7075,514,4,71,11,No,No,No,West,580
4,148.924,9504,681,3,36,11,Yes,No,No,West,964
5,55.882,4897,357,2,68,16,No,No,Yes,South,331
6,80.18,8047,569,4,77,10,No,No,No,South,1151
7,20.996,3388,259,2,37,12,Yes,No,No,East,203
8,71.408,7114,512,2,87,9,No,No,No,West,872
9,15.125,3300,266,5,66,13,Yes,No,No,South,279
10,71.061,6819,491,3,41,19,Yes,Yes,Yes,East,1350
11,63.095,8117,589,4,30,14,No,No,Yes,South,1407
12,15.045,1311,138,3,64,16,No,No,No,South,0
13,80.616,5308,394,1,57,7,Yes,No,Yes,West,204
14,43.682,6922,511,1,49,9,No,No,Yes,South,1081
15,19.144,3291,269,2,75,13,Yes,No,No,East,148
16,20.089,2525,200,3,57,15,Yes,No,Yes,East,0
17,53.598,3714,286,3,73,17,Yes,No,Yes,East,0
18,36.496,4378,339,3,69,15,Yes,No,Yes,West,368
19,49.57,6384,448,1,28,9,Yes,No,Yes,West,891
20,42.079,6626,479,2,44,9,No,No,No,West,1048
21,17.7,2860,235,4,63,16,Yes,No,No,West,89
22,37.348,6378,458,1,72,17,Yes,No,No,South,968
23,20.103,2631,213,3,61,10,No,No,Yes,East,0
24,64.027,5179,398,5,48,8,No,No,Yes,East,411
25,10.742,1757,156,3,57,15,Yes,No,No,South,0
26,14.09,4323,326,5,25,16,Yes,No,Yes,East,671
27,42.471,3625,289,6,44,12,Yes,Yes,No,South,654
28,32.793,4534,333,2,44,16,No,No,No,East,467
29,186.634,13414,949,2,41,14,Yes,No,Yes,East,1809
30,26.813,5611,411,4,55,16,Yes,No,No,South,915
31,34.142,5666,413,4,47,5,Yes,No,Yes,South,863
32,28.941,2733,210,5,43,16,No,No,Yes,West,0
33,134.181,7838,563,2,48,13,Yes,No,No,South,526
34,31.367,1829,162,4,30,10,No,No,Yes,South,0
35,20.15,2646,199,2,25,14,Yes,No,Yes,West,0
36,23.35,2558,220,3,49,12,Yes,Yes,No,South,419
37,62.413,6457,455,2,71,11,Yes,No,Yes,South,762
38,30.007,6481,462,2,69,9,Yes,No,Yes,South,1093
39,11.795,3899,300,4,25,10,Yes,No,No,South,531
40,13.647,3461,264,4,47,14,No,No,Yes,South,344
41,34.95,3327,253,3,54,14,Yes,No,No,East,50
42,113.659,7659,538,2,66,15,No,Yes,Yes,East,1155
43,44.158,4763,351,2,66,13,Yes,No,Yes,West,385
44,36.929,6257,445,1,24,14,Yes,No,Yes,West,976
45,31.861,6375,469,3,25,16,Yes,No,Yes,South,1120
46,77.38,7569,564,3,50,12,Yes,No,Yes,South,997
47,19.531,5043,376,2,64,16,Yes,Yes,Yes,West,1241
48,44.646,4431,320,2,49,15,No,Yes,Yes,South,797
49,44.522,2252,205,6,72,15,No,No,Yes,West,0
50,43.479,4569,354,4,49,13,No,Yes,Yes,East,902
51,36.362,5183,376,3,49,15,No,No,Yes,East,654
52,39.705,3969,301,2,27,20,No,No,Yes,East,211
